Gene	weighted_cS2G_score	phenotype	locusname
IGF1R	1.883855	height	annotated_credset_2667.1.txt
SYNM	0.339851	height	annotated_credset_2667.1.txt
LYSMD4	0.649921	height	annotated_credset_2668.1.txt
ADAMTS17	0.929702	height	annotated_credset_2669.1.txt
ADAMTS17	0.605291	height	annotated_credset_2670.1.txt
CERS3	0.128289	height	annotated_credset_2670.1.txt
ADAMTS17	0.103476	height	annotated_credset_2672.1.txt
FAM173A	0.271994	height	annotated_credset_2679.1.txt
RAB11FIP3	0.14326743	height	annotated_credset_2679.1.txt
MRPL28	0.2221400999999999	height	annotated_credset_2679.1.txt
PIGQ	0.5973412899999999	height	annotated_credset_2680.1.txt
CCDC78	0.05631955	height	annotated_credset_2681.1.txt
HAGHL	0.878053753	height	annotated_credset_2681.1.txt
NARFL	0.158623032	height	annotated_credset_2681.1.txt
SOX8	0.2422969999999999	height	annotated_credset_2681.1.txt
HAGHL	0.068421214	height	annotated_credset_2683.1.txt
SSTR5-AS1	0.231849	height	annotated_credset_2684.1.txt
SOX8	0.1841305	height	annotated_credset_2685.1.txt
TPSB2	0.4644515999999999	height	annotated_credset_2685.1.txt
CACNA1H	0.070105353	height	annotated_credset_2685.1.txt
PTX4	0.267761	height	annotated_credset_2686.1.txt
TMEM204	0.802862	height	annotated_credset_2686.1.txt
MAPK8IP3	0.081768765	height	annotated_credset_2686.1.txt
MRPS34	0.115653698	height	annotated_credset_2686.1.txt
NME3	0.431742	height	annotated_credset_2686.1.txt
HAGH	0.480806	height	annotated_credset_2687.1.txt
NUBP2	0.5010320159999999	height	annotated_credset_2687.1.txt
PGP	0.252028984	height	annotated_credset_2688.1.txt
PKD1	0.981178	height	annotated_credset_2688.1.txt
PGP	0.8945116599999999	height	annotated_credset_2689.1.txt
PGP	0.403067637	height	annotated_credset_2690.1.txt
AMDHD2	0.4571746559999999	height	annotated_credset_2691.1.txt
TCEB2	0.698289	height	annotated_credset_2692.1.txt
KCTD5	0.9959	height	annotated_credset_2692.1.txt
ZNF205	0.319031	height	annotated_credset_2693.1.txt
CREBBP	0.385258	height	annotated_credset_2696.1.txt
SRRM2-AS1	0.873022	height	annotated_credset_2696.1.txt
ADCY9	0.996574	height	annotated_credset_2696.1.txt
TFAP4	0.6861442	height	annotated_credset_2698.1.txt
GLIS2	0.1128895999999999	height	annotated_credset_2698.1.txt
C16orf96	0.161561	height	annotated_credset_2698.1.txt
MGRN1	0.35969718	height	annotated_credset_2699.1.txt
PAM16	0.595	height	annotated_credset_2699.1.txt
ANKS3	0.871962236	height	annotated_credset_2699.1.txt
NUDT16L1	0.348431709	height	annotated_credset_2700.1.txt
ZNF500	0.0981425	height	annotated_credset_2701.1.txt
C16orf71	0.0949576	height	annotated_credset_2701.1.txt
USP10	0.7908252	height	annotated_credset_2774.1.txt
CRISPLD2	2.0524993	height	annotated_credset_2774.1.txt
GSE1	0.827825	height	annotated_credset_2774.1.txt
GSE1	0.857572	height	annotated_credset_2775.1.txt
ZNF469	0.297323	height	annotated_credset_2781.1.txt
DPEP1	0.0875694582	height	annotated_credset_2782.1.txt
ZFPM1	0.51527304	height	annotated_credset_2782.1.txt
BANP	0.742906	height	annotated_credset_2782.1.txt
RNF166	0.482701365	height	annotated_credset_2783.1.txt
PIEZO1	1.804269	height	annotated_credset_2784.1.txt
CTU2	0.618133	height	annotated_credset_2784.1.txt
GALNS	0.108028	height	annotated_credset_2784.1.txt
PIEZO1	1.972251	height	annotated_credset_2785.1.txt
SLC22A31	0.160965	height	annotated_credset_2786.1.txt
GAS8	0.44662	height	annotated_credset_2788.1.txt
SPATA2L	0.170438	height	annotated_credset_2790.1.txt
CDK10	0.266062	height	annotated_credset_2790.1.txt
SPATA33	0.3742489282	height	annotated_credset_2790.1.txt
NOS2	0.1713897	height	annotated_credset_2816.1.txt
SPAG5-AS1	0.805243	height	annotated_credset_2817.1.txt
SARM1	0.369386	height	annotated_credset_2817.1.txt
RAB34	0.276763213	height	annotated_credset_2820.1.txt
TP53I13	0.24936219	height	annotated_credset_2826.1.txt
SLC6A4	0.6639349999999999	height	annotated_credset_2828.1.txt
TMIGD1	0.342389	height	annotated_credset_2830.1.txt
GOSR1	0.790093	height	annotated_credset_2832.1.txt
ABHD15	0.292849	height	annotated_credset_2833.1.txt
CRLF3	1.1952120000000002	height	annotated_credset_2836.1.txt
ATAD5	0.997207	height	annotated_credset_2836.1.txt
CRLF3	0.134331	height	annotated_credset_2838.1.txt
RAB11FIP4	0.269748	height	annotated_credset_2839.1.txt
NF1	1.0	height	annotated_credset_2839.1.txt
TBC1D29	0.151608	height	annotated_credset_2839.1.txt
TEFM	0.349366	height	annotated_credset_2840.1.txt
NF1	0.960227	height	annotated_credset_2840.1.txt
TBX2	0.568970818	height	annotated_credset_2900.1.txt
INTS2	0.404769	height	annotated_credset_2900.1.txt
TBX4	0.159031	height	annotated_credset_2901.1.txt
BRIP1	0.070402675	height	annotated_credset_2902.1.txt
MRC2	1.110305	height	annotated_credset_2905.1.txt
PSMC5	0.342057	height	annotated_credset_2906.1.txt
TANC2	0.951501325	height	annotated_credset_2906.1.txt
ACE	1.659022	height	annotated_credset_2907.1.txt
CYB561	0.993266	height	annotated_credset_2907.1.txt
KCNH6	4.680988	height	annotated_credset_2907.1.txt
ACE	0.26246243	height	annotated_credset_2908.1.txt
CYB561	0.377578	height	annotated_credset_2908.1.txt
STRADA	0.8236402440000001	height	annotated_credset_2908.1.txt
CD79B	0.8487	height	annotated_credset_2909.1.txt
CSH1	0.254404	height	annotated_credset_2910.1.txt
GH1	0.372593805	height	annotated_credset_2910.1.txt
CSHL1	0.67563198	height	annotated_credset_2910.1.txt
GH1	0.491866	height	annotated_credset_2912.1.txt
GH1	0.34078871	height	annotated_credset_2913.1.txt
ERN1	0.490182	height	annotated_credset_2913.1.txt
CD79B	0.589318	height	annotated_credset_2913.1.txt
ICAM2	0.60815047	height	annotated_credset_2914.1.txt
STRADA	0.127932	height	annotated_credset_2914.1.txt
C17orf72	0.995156	height	annotated_credset_2914.1.txt
CEP95	0.778565	height	annotated_credset_2915.1.txt
SMURF2	0.76842719	height	annotated_credset_2916.1.txt
ZNF521	0.798439	height	annotated_credset_2976.1.txt
NCLN	0.284382288	height	annotated_credset_3020.1.txt
CELF5	0.092065149	height	annotated_credset_3021.1.txt
NFIC	0.818108564	height	annotated_credset_3022.1.txt
DOHH	0.329336	height	annotated_credset_3022.1.txt
HMG20B	1.7119248	height	annotated_credset_3022.1.txt
ZFR2	0.251931995	height	annotated_credset_3022.1.txt
TNFAIP8L1	0.103335	height	annotated_credset_3025.1.txt
DPP9	0.447209	height	annotated_credset_3025.1.txt
FEM1A	0.155405	height	annotated_credset_3025.1.txt
KDM4B	1.137544	height	annotated_credset_3025.1.txt
MIR7-3HG	0.77191114	height	annotated_credset_3025.1.txt
SIRT6	0.528314192	height	annotated_credset_3026.1.txt
UHRF1	0.801533236	height	annotated_credset_3026.1.txt
KDM4B	1.490014	height	annotated_credset_3027.1.txt
ADAMTS10	1.145223	height	annotated_credset_3033.1.txt
ADAMTS10	1.662717	height	annotated_credset_3034.1.txt
MYO1F	0.5815899299999999	height	annotated_credset_3034.1.txt
SIGLEC1	0.086138925	height	annotated_credset_3111.1.txt
SMOX	0.3410843939999999	height	annotated_credset_3111.1.txt
C20orf27	0.950778	height	annotated_credset_3111.1.txt
ADAM33	0.194425	height	annotated_credset_3111.1.txt
SMOX	0.100378	height	annotated_credset_3112.1.txt
PRND	0.191329151	height	annotated_credset_3112.1.txt
SMOX	0.153218	height	annotated_credset_3114.1.txt
C20orf112	0.531062	height	annotated_credset_3142.1.txt
SNTA1	0.241806	height	annotated_credset_3146.1.txt
BPIFB6	0.3486984199999999	height	annotated_credset_3148.1.txt
NECAB3	0.868799	height	annotated_credset_3148.1.txt
CBFA2T2	0.225203188	height	annotated_credset_3149.1.txt
ACTL10	0.263778325	height	annotated_credset_3149.1.txt
RALY	0.998948	height	annotated_credset_3150.1.txt
BPIFB2	0.165065	height	annotated_credset_3150.1.txt
CHMP4B	0.999903	height	annotated_credset_3151.1.txt
MAP1LC3A	0.99177	height	annotated_credset_3152.1.txt
CBFA2T2	0.998687	height	annotated_credset_3152.1.txt
RALY	0.200079	height	annotated_credset_3152.1.txt
RALY	0.547616046	height	annotated_credset_3153.1.txt
DYNLRB1	1.256518	height	annotated_credset_3153.1.txt
GGT7	0.840027058	height	annotated_credset_3155.1.txt
GGT7	0.12564	height	annotated_credset_3156.1.txt
DYNLRB1	0.477385	height	annotated_credset_3156.1.txt
NCOA6	0.519205	height	annotated_credset_3157.1.txt
TP53INP2	0.293543614	height	annotated_credset_3157.1.txt
EDEM2	0.094662414	height	annotated_credset_3157.1.txt
UQCC1	0.533812524	height	annotated_credset_3157.1.txt
CEP250	0.209119	height	annotated_credset_3158.1.txt
PROCR	0.769	height	annotated_credset_3158.1.txt
CEP250	0.38982	height	annotated_credset_3159.1.txt
ERGIC3	0.251479	height	annotated_credset_3159.1.txt
PROCR	0.481902	height	annotated_credset_3160.1.txt
FER1L4	0.15737041	height	annotated_credset_3161.1.txt
CEP250	1.775345771	height	annotated_credset_3162.1.txt
PHF20	0.67907	height	annotated_credset_3162.1.txt
RBM39	0.125564901	height	annotated_credset_3163.1.txt
RBM12	0.999982	height	annotated_credset_3163.1.txt
PHF20	0.863638	height	annotated_credset_3164.1.txt
UQCC1	0.993204	height	annotated_credset_3164.1.txt
CNBD2	0.999563	height	annotated_credset_3165.1.txt
CNBD2	0.938288	height	annotated_credset_3166.1.txt
FER1L4	0.879904	height	annotated_credset_3166.1.txt
UQCC1	0.989676	height	annotated_credset_3166.1.txt
SAMHD1	0.5087378450000001	height	annotated_credset_3167.1.txt
NDRG3	0.12357754	height	annotated_credset_3167.1.txt
SOGA1	0.201846	height	annotated_credset_3167.1.txt
C20orf24	0.313128	height	annotated_credset_3169.1.txt
SAMHD1	0.262161	height	annotated_credset_3170.1.txt
NDRG3	0.187163	height	annotated_credset_3170.1.txt
RBL1	0.243188	height	annotated_credset_3170.1.txt
SRC	0.8652580000000001	height	annotated_credset_3172.1.txt
GPR75	0.273462	height	annotated_credset_382.1.txt
SPTBN1	0.327072	height	annotated_credset_383.1.txt
RTN4	0.30644	height	annotated_credset_384.1.txt
SPTBN1	0.454707	height	annotated_credset_384.1.txt
EML6	0.373668	height	annotated_credset_384.1.txt
RTN4	1.670918	height	annotated_credset_387.1.txt
EML6	0.0891098	height	annotated_credset_387.1.txt
CCDC88A	1.0	height	annotated_credset_389.1.txt
SMEK2	1.068478	height	annotated_credset_389.1.txt
EFEMP1	0.187717	height	annotated_credset_391.1.txt
EFEMP1	0.299561	height	annotated_credset_392.1.txt
CCDC85A	0.216325	height	annotated_credset_394.1.txt
EFEMP1	0.991747	height	annotated_credset_394.1.txt
GORASP2	0.118937	height	annotated_credset_481.1.txt
CYBRD1	0.232545	height	annotated_credset_483.1.txt
DCAF17	0.427528	height	annotated_credset_484.1.txt
CYBRD1	0.453111	height	annotated_credset_484.1.txt
METTL8	0.0714735	height	annotated_credset_484.1.txt
SLC25A12	0.2549641	height	annotated_credset_485.1.txt
PLEKHA3	0.305706966	height	annotated_credset_494.1.txt
TTN	0.16398	height	annotated_credset_495.1.txt
FKBP7	0.127767812	height	annotated_credset_495.1.txt
PLEKHA3	0.509265549	height	annotated_credset_495.1.txt
IGFBP2	1.0239685	height	annotated_credset_525.1.txt
DIRC3	0.084614	height	annotated_credset_528.1.txt
DIRC3	0.190629	height	annotated_credset_529.1.txt
IGFBP5	0.401951	height	annotated_credset_529.1.txt
TNS1	0.81803	height	annotated_credset_531.1.txt
TNS1	1.0	height	annotated_credset_532.1.txt
GPBAR1	0.17105	height	annotated_credset_533.1.txt
VIL1	0.224832803	height	annotated_credset_533.1.txt
STK16	1.0	height	annotated_credset_534.1.txt
TMBIM1	0.67885884	height	annotated_credset_534.1.txt
TMBIM1	0.770068	height	annotated_credset_535.1.txt
PRKAG3	0.153287	height	annotated_credset_535.1.txt
WNT6	0.692335	height	annotated_credset_535.1.txt
SLC11A1	0.136577	height	annotated_credset_535.1.txt
CNPPD1	0.187805	height	annotated_credset_536.1.txt
IHH	0.5064690000000001	height	annotated_credset_537.1.txt
WNT6	0.989401	height	annotated_credset_537.1.txt
TTLL4	0.982808	height	annotated_credset_537.1.txt
FAM134A	0.836475255	height	annotated_credset_537.1.txt
PTPRN	0.54436284	height	annotated_credset_538.1.txt
RNF25	0.397605	height	annotated_credset_538.1.txt
DNAJB2	0.185041128	height	annotated_credset_538.1.txt
PTPRN	0.275319	height	annotated_credset_540.1.txt
PTPRN	1.0	height	annotated_credset_541.1.txt
IRS1	0.37727	height	annotated_credset_555.1.txt
TM4SF20	0.0661812	height	annotated_credset_556.1.txt
RHBDD1	0.63354068	height	annotated_credset_557.1.txt
IRS1	0.160011	height	annotated_credset_557.1.txt
SH3D21	0.695504	height	annotated_credset_60.1.txt
ADPRHL2	0.080766636	height	annotated_credset_60.1.txt
EVA1B	0.160873262	height	annotated_credset_60.1.txt
PLCD1	0.115328537	height	annotated_credset_614.1.txt
VILL	0.457784142	height	annotated_credset_614.1.txt
FYCO1	0.0563580995	height	annotated_credset_618.1.txt
NBEAL2	0.5495410000000001	height	annotated_credset_623.1.txt
MYL3	0.270409	height	annotated_credset_623.1.txt
SCAP	0.784819	height	annotated_credset_623.1.txt
KLHL18	0.200349	height	annotated_credset_623.1.txt
PTH1R	0.8186472619999999	height	annotated_credset_623.1.txt
FBXW12	0.734025	height	annotated_credset_625.1.txt
PTH1R	0.609962	height	annotated_credset_625.1.txt
KLHL18	0.213093	height	annotated_credset_626.1.txt
KLHL18	0.197312	height	annotated_credset_627.1.txt
SCAP	0.915577	height	annotated_credset_628.1.txt
IP6K2	0.999385	height	annotated_credset_636.1.txt
MST1	0.24245	height	annotated_credset_639.1.txt
USP4	0.455171	height	annotated_credset_639.1.txt
COL9A2	0.902999	height	annotated_credset_64.1.txt
PFKFB4	0.786029701	height	annotated_credset_640.1.txt
MST1	0.196075	height	annotated_credset_640.1.txt
USP4	0.137745648	height	annotated_credset_643.1.txt
RNF123	0.7499498520000001	height	annotated_credset_645.1.txt
AMIGO3	0.308005	height	annotated_credset_645.1.txt
GNAI2	0.23122032	height	annotated_credset_646.1.txt
SEMA3F	0.296193	height	annotated_credset_646.1.txt
SLC38A3	0.703807	height	annotated_credset_646.1.txt
GNAI2	0.574819574	height	annotated_credset_649.1.txt
SEMA3B	0.627099	height	annotated_credset_649.1.txt
TMEM115	0.832356	height	annotated_credset_655.1.txt
SEMA3B-AS1	0.990301	height	annotated_credset_656.1.txt
GRM2	0.999997	height	annotated_credset_659.1.txt
TLR9	0.488647	height	annotated_credset_659.1.txt
ALAS1	0.640359	height	annotated_credset_660.1.txt
LINC00696	0.443499	height	annotated_credset_660.1.txt
PHF7	0.285929	height	annotated_credset_661.1.txt
PHF7	0.72283878	height	annotated_credset_662.1.txt
SMIM4	0.356736793	height	annotated_credset_662.1.txt
STAB1	0.145174	height	annotated_credset_662.1.txt
TNNC1	0.495345	height	annotated_credset_662.1.txt
GLT8D1	0.6790070060000001	height	annotated_credset_663.1.txt
SFMBT1	0.129525774	height	annotated_credset_663.1.txt
TNNC1	0.26287639	height	annotated_credset_663.1.txt
TMEM110	0.26982549	height	annotated_credset_665.1.txt
SFMBT1	0.368576	height	annotated_credset_667.1.txt
ITIH1	0.28392	height	annotated_credset_667.1.txt
GNL3	0.4143500479999999	height	annotated_credset_667.1.txt
PRKCD	0.988027303	height	annotated_credset_667.1.txt
RFT1	0.146847	height	annotated_credset_669.1.txt
WNT5A	0.7123809999999999	height	annotated_credset_673.1.txt
FAM208A	0.861057	height	annotated_credset_676.1.txt
ARHGEF3	0.2720798	height	annotated_credset_677.1.txt
SCMH1	0.419834	height	annotated_credset_68.1.txt
KCTD6	0.667768	height	annotated_credset_681.1.txt
FLNB-AS1	0.464367708	height	annotated_credset_681.1.txt
FLNB	1.789102395	height	annotated_credset_681.1.txt
SCMH1	0.167153	height	annotated_credset_69.1.txt
SLFNL1	0.581077544	height	annotated_credset_69.1.txt
SCMH1	0.416218	height	annotated_credset_70.1.txt
NFYC	0.147179	height	annotated_credset_73.1.txt
FOXO6	0.808574	height	annotated_credset_73.1.txt
EDN2	0.120666	height	annotated_credset_73.1.txt
HIVEP3	0.440682	height	annotated_credset_74.1.txt
FNDC3B	1.109675	height	annotated_credset_772.1.txt
C3orf70	0.259401	height	annotated_credset_777.1.txt
DNAJB11	0.132051	height	annotated_credset_779.1.txt
TRA2B	0.166971	height	annotated_credset_783.1.txt
DGKQ	0.49763649	height	annotated_credset_800.1.txt
TMEM175	0.0903875319999999	height	annotated_credset_800.1.txt
CRIPAK	0.215247	height	annotated_credset_800.1.txt
CTBP1	0.3239053919999999	height	annotated_credset_801.1.txt
UVSSA	0.223783	height	annotated_credset_801.1.txt
FGFRL1	0.76445	height	annotated_credset_801.1.txt
SPON2	0.1317441899999999	height	annotated_credset_801.1.txt
UVSSA	0.117129	height	annotated_credset_803.1.txt
TMEM129	0.57333722	height	annotated_credset_803.1.txt
CRIPAK	0.798	height	annotated_credset_803.1.txt
FGFR3	0.607295139	height	annotated_credset_803.1.txt
FGFR3	1.0	height	annotated_credset_807.1.txt
GPR78	0.0713834	height	annotated_credset_814.1.txt
TRMT44	0.0597241	height	annotated_credset_815.1.txt
CPZ	0.9232721000000002	height	annotated_credset_815.1.txt
ACOX3	0.2938244	height	annotated_credset_815.1.txt
N4BP2	0.499513	height	annotated_credset_841.1.txt
SMIM14	0.8116233194999999	height	annotated_credset_841.1.txt
PDS5A	0.38745009	height	annotated_credset_841.1.txt
PDS5A	0.274147416	height	annotated_credset_842.1.txt
RHOH	0.0570349765	height	annotated_credset_842.1.txt
ADAMTS3	0.620715	height	annotated_credset_857.1.txt
NUDT6	0.110649084	height	annotated_credset_913.1.txt
CDH6	0.264836	height	annotated_credset_965.1.txt
MTMR12	0.212087	height	annotated_credset_965.1.txt
PDZD2	0.59698	height	annotated_credset_965.1.txt
DROSHA	0.311153	height	annotated_credset_966.1.txt
SUB1	0.255953	height	annotated_credset_967.1.txt
NPR3	2.1347833	height	annotated_credset_967.1.txt
NPR3	1.6179640000000002	height	annotated_credset_968.1.txt
NPR3	0.610116	height	annotated_credset_969.1.txt
NPR3	1.205289	height	annotated_credset_970.1.txt
NPR3	0.433153	height	annotated_credset_971.1.txt
ZFR	0.198087	height	annotated_credset_972.1.txt
TARS	0.314527	height	annotated_credset_972.1.txt
NPR3	0.424261	height	annotated_credset_972.1.txt
ADAMTS12	0.2264585	height	annotated_credset_972.1.txt
ADAMTS12	0.344244	height	annotated_credset_975.1.txt
FBXO4	0.493101	height	annotated_credset_993.1.txt
ANXA2R	0.124626	height	annotated_credset_996.1.txt
NIM1K	0.230948	height	annotated_credset_997.1.txt
ANXA2R	0.7409824199999999	height	annotated_credset_997.1.txt
PCSK9	0.3555924	ldl	annotated_credset_12.1.txt
BSND	1.790232	ldl	annotated_credset_13.1.txt
TCEANC2	0.169474	ldl	annotated_credset_13.1.txt
PCSK9	1.270168	ldl	annotated_credset_14.1.txt
USP24	0.4796904999999999	ldl	annotated_credset_14.1.txt
GCNT4	2.803062	ldl	annotated_credset_145.1.txt
ANKRD31	0.499396	ldl	annotated_credset_145.1.txt
HMGCR	2.538298	ldl	annotated_credset_147.1.txt
COL4A3BP	0.122853	ldl	annotated_credset_148.1.txt
POLK	0.142214	ldl	annotated_credset_148.1.txt
POC5	1.0	ldl	annotated_credset_148.1.txt
POC5	0.960902	ldl	annotated_credset_149.1.txt
PRKAA2	0.380023	ldl	annotated_credset_15.1.txt
BSND	0.493766	ldl	annotated_credset_15.1.txt
IQGAP2	0.099999505	ldl	annotated_credset_151.1.txt
PRKAA2	0.447939	ldl	annotated_credset_16.1.txt
DOCK7	0.99908	ldl	annotated_credset_19.1.txt
NUDCD3	0.292775	ldl	annotated_credset_237.1.txt
SNHG15	0.197284752	ldl	annotated_credset_237.1.txt
GCK	0.118839	ldl	annotated_credset_237.1.txt
RAMP3	0.516903	ldl	annotated_credset_238.1.txt
MRPS24	0.139288	ldl	annotated_credset_238.1.txt
DDX56	0.130031201	ldl	annotated_credset_238.1.txt
NPC1L1	0.471903	ldl	annotated_credset_238.1.txt
ZMIZ2	0.929	ldl	annotated_credset_239.1.txt
CYP3A4	0.999959	ldl	annotated_credset_244.1.txt
AZGP1	0.601904	ldl	annotated_credset_244.1.txt
GJC3	1.356186	ldl	annotated_credset_244.1.txt
CNPY4	0.646948437	ldl	annotated_credset_245.1.txt
MOSPD3	0.351795626	ldl	annotated_credset_246.1.txt
GIGYF1	0.2134830529999999	ldl	annotated_credset_246.1.txt
TFR2	0.10445338	ldl	annotated_credset_246.1.txt
ACHE	0.0862417	ldl	annotated_credset_247.1.txt
GIGYF1	0.088166043	ldl	annotated_credset_247.1.txt
SRRT	0.157358	ldl	annotated_credset_247.1.txt
APOA1	0.974028	ldl	annotated_credset_309.1.txt
APOA5	0.0766602	ldl	annotated_credset_309.1.txt
APOA4	0.809171	ldl	annotated_credset_309.1.txt
SIK3	1.592839	ldl	annotated_credset_310.1.txt
APOA4	1.0	ldl	annotated_credset_310.1.txt
SIK3	1.0486901	ldl	annotated_credset_312.1.txt
ASGR2	0.999888	ldl	annotated_credset_393.1.txt
NEURL4	0.8456966400000001	ldl	annotated_credset_393.1.txt
C17orf74	0.97766	ldl	annotated_credset_394.1.txt
NLGN2	0.6509059210000001	ldl	annotated_credset_394.1.txt
ASGR2	6.701327372	ldl	annotated_credset_394.1.txt
ATP1B2	0.0885353	ldl	annotated_credset_396.1.txt
MPDU1	0.2128867659999999	ldl	annotated_credset_396.1.txt
SHBG	0.21327597	ldl	annotated_credset_397.1.txt
ATP1B2	0.260587	ldl	annotated_credset_397.1.txt
EIF4A1	0.059235084	ldl	annotated_credset_397.1.txt
RRBP1	0.7532901200000001	ldl	annotated_credset_486.1.txt
DYNC2LI1	0.7979624940000001	ldl	annotated_credset_65.1.txt
PLEKHH2	0.636591	ldl	annotated_credset_65.1.txt
THADA	0.467295	ldl	annotated_credset_66.1.txt
DYNC2LI1	0.11052	ldl	annotated_credset_66.1.txt
SLC3A1	0.0981961	ldl	annotated_credset_66.1.txt
DYNC2LI1	1.7826675	ldl	annotated_credset_67.1.txt
PLEKHH2	1.4159884	ldl	annotated_credset_67.1.txt
DYNC2LI1	0.2475549999999999	ldl	annotated_credset_68.1.txt
ABCG8	2.56029865	ldl	annotated_credset_68.1.txt
ABCG5	0.999967	ldl	annotated_credset_69.1.txt
ABCG8	0.999375	ldl	annotated_credset_69.1.txt
TG	0.3238630999999999	lowtsh	annotated_credset_112.1.txt
TMEM71	0.340686	lowtsh	annotated_credset_112.1.txt
WISP1	0.5635368000000001	lowtsh	annotated_credset_113.1.txt
SLA	0.151629	lowtsh	annotated_credset_113.1.txt
ZBTB7A	0.6265064600000001	rbc	annotated_credset_1007.1.txt
EEF2	0.0977946	rbc	annotated_credset_1007.1.txt
EBI3	0.216751	rbc	annotated_credset_1007.1.txt
HDGFRP2	0.982155603	rbc	annotated_credset_1008.1.txt
UBXN6	0.2379442618	rbc	annotated_credset_1008.1.txt
DNASE2	0.159951861	rbc	annotated_credset_1013.1.txt
GCDH	0.299355	rbc	annotated_credset_1013.1.txt
SYCE2	0.996325	rbc	annotated_credset_1013.1.txt
FARSA	0.918028	rbc	annotated_credset_1013.1.txt
KLF1	0.2244349799999999	rbc	annotated_credset_1013.1.txt
CALR	0.317977	rbc	annotated_credset_1015.1.txt
ZBTB46	0.0550368861	rbc	annotated_credset_1085.1.txt
SLC2A4RG	0.2057849739999999	rbc	annotated_credset_1085.1.txt
ZBTB46	0.526468713	rbc	annotated_credset_1086.1.txt
RTEL1	0.64538187	rbc	annotated_credset_1086.1.txt
TCF23	0.3238	rbc	annotated_credset_121.1.txt
ABHD1	0.596574762	rbc	annotated_credset_121.1.txt
NRBP1	0.334571	rbc	annotated_credset_122.1.txt
IP6K2	0.220517	rbc	annotated_credset_220.1.txt
TFRC	0.353985634	rbc	annotated_credset_268.1.txt
TNK2	0.1730127286	rbc	annotated_credset_268.1.txt
TNK2-AS1	0.070202547	rbc	annotated_credset_268.1.txt
TFRC	0.751272573	rbc	annotated_credset_269.1.txt
MUC4	0.064144019	rbc	annotated_credset_269.1.txt
TNK2	0.1762448	rbc	annotated_credset_269.1.txt
MUC20	0.1794542	rbc	annotated_credset_269.1.txt
LINC00885	0.0852253	rbc	annotated_credset_270.1.txt
TFRC	0.2384954229999999	rbc	annotated_credset_270.1.txt
SLC51A	0.058654333	rbc	annotated_credset_270.1.txt
ZDHHC11	0.881256	rbc	annotated_credset_311.1.txt
SLC12A7	0.592872675	rbc	annotated_credset_311.1.txt
TERT	0.07867598	rbc	annotated_credset_313.1.txt
SLC12A7	0.8589260000000001	rbc	annotated_credset_313.1.txt
GMPR	0.4544257	rbc	annotated_credset_365.1.txt
C8orf4	0.107763	rbc	annotated_credset_521.1.txt
ACO1	0.348955	rbc	annotated_credset_571.1.txt
ACO1	0.166907	rbc	annotated_credset_572.1.txt
FAM189B	0.120565	rbc	annotated_credset_61.1.txt
THBS3	0.577344	rbc	annotated_credset_61.1.txt
MTX1	0.3135760939999999	rbc	annotated_credset_62.1.txt
SHC1	0.235454	rbc	annotated_credset_63.1.txt
ZBTB7B	0.44237	rbc	annotated_credset_66.1.txt
YY1AP1	0.863483	rbc	annotated_credset_66.1.txt
CSRP3	0.949186	rbc	annotated_credset_663.1.txt
E2F8	0.101791	rbc	annotated_credset_663.1.txt
GON4L	0.59274596	rbc	annotated_credset_67.1.txt
ARHGEF2	0.256699044	rbc	annotated_credset_68.1.txt
DDX23	0.09808	rbc	annotated_credset_709.1.txt
HDAC7	0.286817	rbc	annotated_credset_709.1.txt
SMAD6	0.8676514999999999	rbc	annotated_credset_830.1.txt
SMAD6	0.4074376	rbc	annotated_credset_831.1.txt
AXIN1	0.594515	rbc	annotated_credset_862.1.txt
HBA2	0.1563802289999999	rbc	annotated_credset_862.1.txt
NPRL3	1.680510592	rbc	annotated_credset_862.1.txt
HBZ	0.130219	rbc	annotated_credset_862.1.txt
RGS11	0.4281708969999999	rbc	annotated_credset_862.1.txt
HBM	1.0	rbc	annotated_credset_862.1.txt
HBQ1	0.0995325	rbc	annotated_credset_865.1.txt
ITFG3	0.80991	rbc	annotated_credset_866.1.txt
AXIN1	1.0765538300000002	rbc	annotated_credset_867.1.txt
MSLN	0.175965	rbc	annotated_credset_867.1.txt
WDR24	0.105069	rbc	annotated_credset_867.1.txt
RAB11FIP3	0.14637	rbc	annotated_credset_867.1.txt
SLC9A3R2	0.73319372	rbc	annotated_credset_868.1.txt
SLC4A1	0.37246035	rbc	annotated_credset_940.1.txt
YKT6	0.3360649999999999	t2d	annotated_credset_100.1.txt
HNF1A	0.8936540180000001	t2d	annotated_credset_160.1.txt
DOCK7	0.960349	tg	annotated_credset_11.1.txt
INTS10	1.967018	tg	annotated_credset_201.1.txt
SH2D4A	0.300244	tg	annotated_credset_201.1.txt
CSGALNACT1	1.5806413199999998	tg	annotated_credset_202.1.txt
SLC18A1	0.3251587	tg	annotated_credset_202.1.txt
LPL	4.3405501	tg	annotated_credset_202.1.txt
INTS10	0.22764	tg	annotated_credset_203.1.txt
PSD3	0.509814	tg	annotated_credset_203.1.txt
LPL	1.5353453	tg	annotated_credset_205.1.txt
PDE3B	0.259046	tg	annotated_credset_240.1.txt
APOB	0.647476	tg	annotated_credset_26.1.txt
KCNK3	0.910391	tg	annotated_credset_28.1.txt
CIB4	0.127057	tg	annotated_credset_28.1.txt
CENPA	1.999982	tg	annotated_credset_28.1.txt
